Outlook;Temperature;Humidity;Wind;Play
sunny;85;85;false;no
sunny;80;90;true;no
rain;65;70;true;no
sunny;72;95;false;no
rain;71;80;true;no
overcast;83;78;false;yes
rain;70;96;false;yes
rain;68;80;false;yes
overcast;64;65;true;yes
sunny;69;70;false;yes
rain;75;80;false;yes
sunny;75;70;true;yes
overcast;72;90;true;yes
overcast;81;75;false;yes
;;;;
;;;;
Humedad;;Media;STDev;
;Jugar = no;84;9.617692031;
;Jugar = si;78.22222222;9.884050002;
;;;;
Temperature;;;;
;Jugar = no;74.6;7.893034904;
;Jugar = si;73;6.164414003;
